,last_name,first_name,middle_name,suffix,nickname,full_name,race_ethnic_group,gender,type,state,birthday
321,Kennedy,John,Neely,,,John Kennedy,WO,M,sen,LA,1951-11-21
322,Hassan,Margaret,Wood,,Maggie,Margaret Wood Hassan,WO,F,sen,NH,1958-02-27
323,Cortez Masto,Catherine,,,,Catherine Cortez Masto,HA,F,sen,NV,1964-03-29
324,Schneider,Bradley,Scott,,Brad,Bradley Scott Schneider,WO,M,rep,IL,1961-08-20
325,O’Halleran,Tom,,,,Tom O’Halleran,WO,M,rep,AZ,1946-01-24
326,Biggs,Andy,,,,Andy Biggs,WO,M,rep,AZ,1958-11-07
327,Khanna,Ro,,,,Ro Khanna,AS,M,rep,CA,1976-09-13
328,Panetta,Jimmy,,,,Jimmy Panetta,WO,M,rep,CA,1969-10-01
329,Carbajal,Salud,O.,,,Salud O. Carbajal,HA,M,rep,CA,1964-11-18
330,Barragán,Nanette,Diaz,,,Nanette Diaz Barragán,HA,F,rep,CA,1976-09-15
331,Correa,J.,Luis,,,J. Luis Correa,HA,M,rep,CA,1958-01-24
332,Blunt Rochester,Lisa,,,,Lisa Blunt Rochester,AF,F,rep,DE,1962-02-10
333,Gaetz,Matt,,,,Matt Gaetz,WO,M,rep,FL,1982-05-07
334,Dunn,Neal,P.,,,Neal P. Dunn,WO,M,rep,FL,1953-02-16
335,Rutherford,John,H.,,,John H. Rutherford,WO,M,rep,FL,1952-09-02
336,Lawson,Al,,Jr.,,"Al Lawson, Jr.",AF,M,rep,FL,1948-09-23
337,Murphy,Stephanie,N.,,,Stephanie N. Murphy,AS,F,rep,FL,1978-09-16
338,Soto,Darren,,,,Darren Soto,HA,M,rep,FL,1978-02-25
339,Demings,Val,Butler,,,Val Butler Demings,AF,F,rep,FL,1957-03-12
340,Crist,Charlie,,,,Charlie Crist,WO,M,rep,FL,1956-07-24
341,Mast,Brian,J.,,,Brian J. Mast,HA,M,rep,FL,1980-07-10
342,Ferguson,A.,Drew,IV,,A. Drew Ferguson IV,WO,M,rep,GA,1966-11-15
343,Krishnamoorthi,Raja,,,,Raja Krishnamoorthi,AS,M,rep,IL,1973-07-19
344,Banks,Jim,,,,Jim Banks,WO,M,rep,IN,1979-07-16
345,Hollingsworth,Trey,,,,Trey Hollingsworth,WO,M,rep,IN,1983-09-12
346,Marshall,Roger,,,,Roger Marshall,WO,M,sen,KS,1960-08-09
347,Higgins,Clay,,,,Clay Higgins,WO,M,rep,LA,1961-08-24
348,Johnson,Mike,,,,Mike Johnson,WO,M,rep,LA,1972-01-30
349,Brown,Anthony,G.,,,Anthony Brown,AF,M,rep,MD,1961-11-21
350,Raskin,Jamie,,,,Jamie Raskin,WO,M,rep,MD,1962-12-13
351,Bergman,Jack,,,,Jack Bergman,WO,M,rep,MI,1947-02-02
352,Budd,Ted,,,,Ted Budd,WO,M,rep,NC,1971-10-21
353,Bacon,Don,,,,Don Bacon,WO,M,rep,NE,1963-08-16
354,Gottheimer,Josh,,,,Josh Gottheimer,WO,M,rep,NJ,1975-03-08
355,Rosen,Jacky,,,,Jacky Rosen,WO,F,sen,NV,1957-08-02
356,Suozzi,Thomas,R.,,,Thomas R. Suozzi,WO,M,rep,NY,1962-08-31
357,Espaillat,Adriano,,,,Adriano Espaillat,HA,M,rep,NY,1954-09-27
358,Fitzpatrick,Brian,K.,,,Brian K. Fitzpatrick,WO,M,rep,PA,1973-12-17
359,Smucker,Lloyd,,,,Lloyd Smucker,WO,M,rep,PA,1964-01-23
360,González-Colón,Jenniffer,,,,Jenniffer González-Colón,HA,F,rep,PR,1976-08-05
361,Kustoff,David,,,,David Kustoff,WO,M,rep,TN,1966-10-08
362,Gonzalez,Vicente,,,,Vicente Gonzalez,HA,M,rep,TX,1967-09-04
363,Arrington,Jodey,C.,,,Jodey C. Arrington,WO,M,rep,TX,1972-03-09
364,McEachin,A.,Donald,,,A. Donald McEachin,AF,M,rep,VA,1961-10-10
365,Jayapal,Pramila,,,,Pramila Jayapal,AS,F,rep,WA,1965-09-21
366,Gallagher,Mike,,,,Mike Gallagher,WO,M,rep,WI,1984-03-03
367,Cheney,Liz,,,,Liz Cheney,WO,F,rep,WY,1966-07-28
368,Estes,Ron,,,,Ron Estes,WO,M,rep,KS,1956-07-19
369,Norman,Ralph,,,,Ralph Norman,WO,M,rep,SC,1953-06-20
370,Gomez,Jimmy,,,,Jimmy Gomez,HA,M,rep,CA,1974-11-25
371,Curtis,John,R.,,,John R. Curtis,WO,M,rep,UT,1960-05-10
372,Smith,Tina,Flint,,,Tina Smith,WO,F,sen,MN,1958-03-04
373,Hyde-Smith,Cindy,,,,Cindy Hyde-Smith,WO,F,sen,MS,1959-05-10
374,Lamb,Conor,,,,Conor Lamb,WO,M,rep,PA,1984-06-27
375,Lesko,Debbie,,,,Debbie Lesko,WO,F,rep,AZ,1958-11-14
376,Cloud,Michael,,,,Michael Cloud,WO,M,rep,TX,1975-05-13
377,Balderson,Troy,,,,Troy Balderson,WO,M,rep,OH,1962-01-16
378,Hern,Kevin,R.,,,Kevin Hern,WO,M,rep,OK,1961-12-04
379,Morelle,Joseph,D.,,,Joseph D. Morelle,WO,M,rep,NY,1957-04-29
380,Scanlon,Mary,Gay,,,Mary Gay Scanlon,WO,F,rep,PA,1959-08-30
381,Wild,Susan,Ellis,,,Susan Wild,WO,F,rep,PA,1957-06-07
382,Case,Ed,,,,Ed Case,WO,M,rep,HI,1952-09-27
383,Horsford,Steven,A.,,,Steven Horsford,AF,M,rep,NV,1973-04-29
384,Kirkpatrick,Ann,,,,Ann Kirkpatrick,WO,F,rep,AZ,1950-03-24
385,Stanton,Greg,,,,Greg Stanton,WO,M,rep,AZ,1970-03-08
386,Harder,Josh,,,,Josh Harder,WO,M,rep,CA,1986-08-01
387,Porter,Katie,,,,Katie Porter,WO,F,rep,CA,1974-01-03
388,Levin,Mike,,,,Mike Levin,HA,M,rep,CA,1978-10-28
389,Neguse,Joe,,,,Joe Neguse,AF,M,rep,CO,1984-05-13
390,Crow,Jason,,,,Jason Crow,WO,M,rep,CO,1979-03-15
391,Hayes,Jahana,,,,Jahana Hayes,AF,F,rep,CT,1973-03-08
392,Waltz,Michael,,,,Michael Waltz,WO,M,rep,FL,1974-01-31
393,Steube,W.,Gregory,,,W. Gregory Steube,WO,M,rep,FL,1978-05-19
394,McBath,Lucy,,,,Lucy McBath,AF,F,rep,GA,1960-06-01
395,San Nicolas,Michael,F. Q.,,,Michael F. Q. San Nicolas,HA,M,rep,GU,1981-01-30
396,Axne,Cynthia,,,,Cynthia Axne,WO,F,rep,IA,1965-04-20
397,Fulcher,Russ,,,,Russ Fulcher,WO,M,rep,ID,1973-07-19
398,García,Jesús,G.,,Chuy,"Jesús G. ""Chuy"" García",HA,M,rep,IL,1956-04-12
399,Casten,Sean,,,,Sean Casten,WO,M,rep,IL,1971-11-23
400,Underwood,Lauren,,,,Lauren Underwood,AF,F,rep,IL,1986-10-04
401,Baird,James,R.,,,James R. Baird,WO,M,rep,IN,1945-06-04
402,Pence,Greg,,,,Greg Pence,WO,M,rep,IN,1956-11-14
403,Davids,Sharice,,,,Sharice Davids,IA,F,rep,KS,1980-05-22
404,Trahan,Lori,,,,Lori Trahan,HA,F,rep,MA,1973-10-27
405,Pressley,Ayanna,,,,Ayanna Pressley,AF,F,rep,MA,1974-02-03
406,Trone,David,J.,,,David J. Trone,WO,M,rep,MD,1955-09-21
407,Slotkin,Elissa,,,,Elissa Slotkin,WO,F,rep,MI,1976-07-10
408,Levin,Andy,,,,Andy Levin,WO,M,rep,MI,1960-08-01
409,Stevens,Haley,M.,,,Haley M. Stevens,WO,F,rep,MI,1983-06-24
410,Tlaib,Rashida,,,,Rashida Tlaib,WO,F,rep,MI,1976-07-24
411,Hagedorn,Jim,,,,Jim Hagedorn,WO,M,rep,MN,1962-08-04
412,Craig,Angie,,,,Angie Craig,WO,F,rep,MN,1972-02-14
413,Phillips,Dean,,,,Dean Phillips,WO,M,rep,MN,1969-01-20
414,Omar,Ilhan,,,,Ilhan Omar,AF,F,rep,MN,1981-10-04
415,Stauber,Pete,,,,Pete Stauber,WO,M,rep,MN,1966-05-10
416,Guest,Michael,,,,Michael Guest,WO,M,rep,MS,1970-02-04
417,Armstrong,Kelly,,,,Kelly Armstrong,WO,M,rep,ND,1976-10-08
418,Pappas,Chris,,,,Chris Pappas,WO,M,rep,NH,1980-06-04
419,Van Drew,Jefferson,,,,Jefferson Van Drew,WO,M,rep,NJ,1953-02-23
420,Kim,Andy,,,,Andy Kim,AS,M,rep,NJ,1982-07-12
421,Malinowski,Tom,,,,Tom Malinowski,WO,M,rep,NJ,1965-09-23
422,Sherrill,Mikie,,,,Mikie Sherrill,WO,F,rep,NJ,1972-01-19
423,Lee,Susie,,,,Susie Lee,WO,F,rep,NV,1966-11-07
424,Ocasio-Cortez,Alexandria,,,,Alexandria Ocasio-Cortez,HA,F,rep,NY,1989-10-13
425,Delgado,Antonio,,,,Antonio Delgado,"HA, AF",M,rep,NY,1977-01-19
426,Gonzalez,Anthony,,,,Anthony Gonzalez,HA,M,rep,OH,1984-09-19
427,Dean,Madeleine,,,,Madeleine Dean,WO,F,rep,PA,1959-06-06
428,Houlahan,Chrissy,,,,Chrissy Houlahan,WO,F,rep,PA,1967-06-05
429,Meuser,Daniel,,,,Daniel Meuser,WO,M,rep,PA,1964-02-10
430,Joyce,John,,,,John Joyce,WO,M,rep,PA,1957-02-08
431,Reschenthaler,Guy,,,,Guy Reschenthaler,WO,M,rep,PA,1983-04-17
432,Timmons,William,R.,,,William R. Timmons IV,WO,M,rep,SC,1984-04-30
433,Johnson,Dusty,,,,Dusty Johnson,WO,M,rep,SD,1976-09-30
434,Burchett,Tim,,,,Tim Burchett,WO,M,rep,TN,1964-08-25
435,Rose,John,W.,,,John Rose,WO,M,rep,TN,1965-02-23
436,Green,Mark,E.,,,Mark E. Green,WO,M,rep,TN,1964-11-08
437,Crenshaw,Dan,,,,Dan Crenshaw,WO,M,rep,TX,1984-03-14
438,Taylor,Van,,,,Van Taylor,WO,M,rep,TX,1972-08-01
439,Gooden,Lance,,,,Lance Gooden,WO,M,rep,TX,1982-12-01
440,Fletcher,Lizzie,,,,Lizzie Fletcher,WO,F,rep,TX,1975-02-13
441,Escobar,Veronica,,,,Veronica Escobar,HA,F,rep,TX,1969-09-15
442,Roy,Chip,,,,Chip Roy,WO,M,rep,TX,1972-08-07
443,Garcia,Sylvia,R.,,,Sylvia R. Garcia,HA,F,rep,TX,1950-09-06
444,Allred,Colin,Z.,,,Colin Z. Allred,AF,M,rep,TX,1983-04-15
445,Luria,Elaine,G.,,,Elaine G. Luria,WO,F,rep,VA,1975-08-15
446,Cline,Ben,,,,Ben Cline,WO,M,rep,VA,1972-02-29
447,Spanberger,Abigail,Davis,,,Abigail Davis Spanberger,WO,F,rep,VA,1979-08-07
448,Wexton,Jennifer,,,,Jennifer Wexton,WO,F,rep,VA,1968-05-27
449,Schrier,Kim,,,,Kim Schrier,WO,F,rep,WA,1968-08-23
450,Steil,Bryan,,,,Bryan Steil,WO,M,rep,WI,1981-03-30
451,Miller,Carol,D.,,,Carol D. Miller,WO,F,rep,WV,1950-11-04
452,Scott,Rick,,,,Rick Scott,WO,M,sen,FL,1952-12-01
453,Braun,Mike,,,,Mike Braun,WO,M,sen,IN,1954-03-24
454,Hawley,Joshua,,,Josh,Josh Hawley,WO,M,sen,MO,1979-12-31
455,Romney,Mitt,,,,Mitt Romney,WO,M,sen,UT,1947-03-12
456,Golden,Jared,Forrest,,,Jared F. Golden,WO,M,rep,ME,1982-07-25
457,Keller,Fred,,,,Fred Keller,WO,M,rep,PA,1965-10-23
458,Bishop,Dan,,,,Dan Bishop,WO,M,rep,NC,1964-07-01
459,Murphy,Gregory,Francis,,,Gregory F. Murphy,WO,M,rep,NC,1963-03-05
460,Mfume,Kweisi,,,,Kweisi Mfume,AF,M,rep,MD,1948-10-24
461,Tiffany,Thomas,P.,,,Thomas P. Tiffany,WO,M,rep,WI,1957-12-30
462,Garcia,Mike,,,,Mike Garcia,WO,M,rep,CA,1976-04-24
463,Jacobs,Chris,,,,Chris Jacobs,WO,M,rep,NY,1966-11-28
464,Kelly,Mark,,,,Mark Kelly,WO,M,sen,AZ,1964-02-21
465,Lummis,Cynthia,M.,,,Cynthia M. Lummis,WO,F,sen,WY,1954-09-10
466,Issa,Darrell,E.,,,Darrell Issa,WO,M,rep,CA,1953-11-01
467,Sessions,Pete,A.,,,Pete Sessions,WO,M,rep,TX,1955-03-22
468,Valadao,David,G.,,,David G. Valadao,HA,M,rep,CA,1977-04-14
469,Tuberville,Tommy,Hawley,,,Tommy Tuberville,WO,M,sen,AL,1954-09-18
470,Hickenlooper,John,Wright,,,John W. Hickenlooper,WO,M,sen,CO,1952-02-07
471,Hagerty,Bill,Francis,,,Bill Hagerty,WO,M,sen,TN,1959-08-14
472,Carl,Jerry,Lee,Jr.,,Jerry L. Carl,WO,M,rep,AL,1958-06-17
473,Moore,Barry,,,,Barry Moore,WO,M,rep,AL,1966-09-26
474,Obernolte,Jay,Phillip,,,Jay Obernolte,WO,M,rep,CA,1970-08-18
475,Kim,Young,Oak,,,Young Kim,AS,F,rep,CA,1962-10-18
476,Steel,Michelle,Eunjoo,,,Michelle Steel,AS,F,rep,CA,1955-06-21
477,Jacobs,Sara,,,,Sara Jacobs,WO,F,rep,CA,1989-02-01
478,Boebert,Lauren,Opal,,,Lauren Boebert,WO,F,rep,CO,1986-12-15
479,Cammack,Katherine,,,Kat,Kat Cammack,WO,F,rep,FL,1988-02-16
480,Franklin,C.,Scott,,,C. Scott Franklin,WO,M,rep,FL,1964-08-23
481,Donalds,Byron,Lowell,,,Byron Donalds,AF,M,rep,FL,1978-10-28
482,Gimenez,Carlos,A.,,,Carlos A. Gimenez,HA,M,rep,FL,1954-01-17
483,Salazar,Maria,Elvira,,,Maria Elvira Salazar,HA,M,rep,FL,1961-11-01
484,Williams,Nikema,Natassha,,,Nikema Williams,AF,F,rep,GA,1978-07-30
485,Bourdeaux,Carolyn,,,,Carolyn Bourdeaux,WO,F,rep,GA,1970-06-03
486,Clyde,Andrew,S.,,,Andrew S. Clyde,WO,M,rep,GA,1963-11-22
487,Greene,Marjorie,Taylor,,,Marjorie Taylor Greene,WO,F,rep,GA,1974-05-27
488,Kahele,Kaialiʻi,,,,Kaiali’i Kahele,"AS, IA",M,rep,HI,1974-03-28
489,Hinson,Ashley,,,,Ashley Hinson,WO,F,rep,IA,1983-06-27
490,Miller-Meeks,Mariannette,Jane,,,Mariannette Miller-Meeks,WO,F,rep,IA,1955-09-06
491,Feenstra,Randy,L.,,,Randy Feenstra,WO,M,rep,IA,1969-01-14
492,Newman,Marie,,,,Marie Newman,WO,F,rep,IL,1964-04-13
493,Miller,Mary,E.,,,Mary E. Miller,WO,F,rep,IL,1959-08-27
494,Mrvan,Frank,John,,,Frank J. Mrvan,WO,M,rep,IN,1969-04-16
495,Spartz,Victoria,,,,Victoria Spartz,WO,F,rep,IN,1978-10-06
496,Mann,Tracey,Robert,,,Tracey Mann,WO,M,rep,KS,1976-12-17
497,LaTurner,Jacob,,,Jake,Jake LaTurner,WO,M,rep,KS,1988-02-17
498,Auchincloss,Jake,Daniel,,,Jake Auchincloss,WO,M,rep,MA,1988-01-29
499,Meijer,Peter,James,,,Peter Meijer,WO,M,rep,MI,1988-01-10
500,McClain,Lisa,C.,,,Lisa C. McClain,WO,F,rep,MI,1966-04-07
501,Fischbach,Michelle,Louise Helene,,,Michelle Fischbach,WO,F,rep,MN,1965-11-03
502,Bush,Cori,,,,Cori Bush,AF,F,rep,MO,1976-07-21
503,Rosendale,Matthew,Martin,Sr.,,"Matthew M. Rosendale, Sr.",WO,M,rep,MT,1960-07-07
504,Ross,Deborah,Koff,,,Deborah K. Ross,WO,F,rep,NC,1963-06-20
505,Manning,Kathy,Ellen,,,Kathy E. Manning,WO,F,rep,NC,1956-12-03
506,Cawthorn,David,,,Madison,Madison Cawthorn,WO,M,rep,NC,1995-08-01
507,Herrell,Yvette,,,,Yvette Herrell,IA,F,rep,NM,1964-03-16
508,Leger Fernandez,Teresa,,,,Teresa Leger Fernandez,WO,F,rep,NM,1959-07-01
509,Garbarino,Andrew,R.,,,Andrew R. Garbarino,WO,M,rep,NY,1984-09-27
510,Malliotakis,Nicole,,,,Nicole Malliotakis,HA,F,rep,NY,1980-11-11
511,Torres,Ritchie,John,,,Ritchie Torres,"HA, AF",M,rep,NY,1988-03-12
512,Bowman,Jamaal,,,,Jamaal Bowman,AF,M,rep,NY,1976-04-01
513,Jones,Mondaire,,,,Mondaire Jones,AF,M,rep,NY,1987-05-18
514,Bice,Stephanie,I.,,,Stephanie I. Bice,WO,F,rep,OK,1973-11-11
515,Bentz,Cliff,Stewart,,,Cliff Bentz,WO,M,rep,OR,1952-01-12
516,Mace,Nancy,Ruth,,,Nancy Mace,WO,F,rep,SC,1977-12-04
517,Harshbarger,Diana,,,,Diana Harshbarger,WO,F,rep,TN,1960-01-01
518,Fallon,Patrick,Edward,,Pat,Pat Fallon,WO,M,rep,TX,1967-12-19
519,Pfluger,August,Lee,II,,August Pfluger,WO,M,rep,TX,1978-12-28
520,Jackson,Ronny,Lynn,,,Ronny Jackson,WO,M,rep,TX,1967-05-04
521,Nehls,Troy,E.,,,Troy E. Nehls,WO,M,rep,TX,1968-04-07
522,Gonzales,Ernest,Anthony,,Tony,Tony Gonzales,HA,M,rep,TX,1980-10-10
523,Van Duyne,Beth,Ann,,,Beth Van Duyne,WO,F,rep,TX,1970-11-16
524,Moore,Blake,David,,,Blake D. Moore,WO,M,rep,UT,1980-06-22
525,Owens,Clarence,,,Burgess,Burgess Owens,AF,M,rep,UT,1951-08-02
526,Good,Robert,G.,,Bob,Bob Good,WO,M,rep,VA,1965-09-11
527,Strickland,Marilyn,,,,Marilyn Strickland,"AS, AF",F,rep,WA,1962-09-25
528,Fitzgerald,Scott,L.,,,Scott Fitzgerald,WO,M,rep,WI,1963-11-16
529,Padilla,Alejandro,,,Alex,Alex Padilla,HA,M,sen,CA,1973-03-22
530,Ossoff,Jon,,,,Jon Ossoff,WO,M,sen,GA,1987-02-16
531,Warnock,Raphael,Gamaliel,,,Raphael G. Warnock,AF,M,sen,GA,1969-07-23
532,Tenney,Claudia,,,,Claudia Tenney,WO,F,rep,NY,1961-02-04
533,Letlow,Julia,,,,Julia Letlow,WO,F,rep,LA,1981-03-16
534,Carter,Troy,Anthony,,,Troy A. Carter,WO,M,rep,LA,1963-10-26
535,Stansbury,Melanie,Ann,,,Melanie A. Stansbury,WO,F,rep,NM,1979-01-31
536,Ellzey,Jake,,,,Jake Ellzey,WO,M,rep,TX,1970-01-24
537,Brown,Shontel,M.,,,,AF,F,rep,OH,1975-06-24
538,Carey,Mike,,,,,WO,M,rep,OH,1971-03-13
539,Cherfilus-McCormick,Sheila,,,,,WO,F,rep,FL,1979-01-25
